Group,Check,Passes,Fails,Pass %
default,login/wrong_password: status is 400/401/403/404/422,1,0,100
default,login/wrong_password: success=false,1,0,100
default,login/wrong_password: never a 5xx (server did not crash),1,0,100
default,login/unknown_email: status is 400/401/404,1,0,100
default,login/unknown_email: success=false,1,0,100
default,login/unknown_email: never a 5xx (server did not crash),1,0,100
default,login/missing_password: status is 400,1,0,100
default,login/missing_password: never a 5xx (server did not crash),1,0,100
default,login/empty_body: status is 400,1,0,100
default,login/empty_body: never a 5xx (server did not crash),1,0,100
default,login/malformed_json: status is 400,1,0,100
default,login/malformed_json: never a 5xx (server did not crash),1,0,100
default,login/sql_injection: status is 400/401,1,0,100
default,login/sql_injection: never a 5xx (server did not crash),1,0,100
default,login/oversized_email: status is 400/413/414,1,0,100
default,login/oversized_email: never a 5xx (server did not crash),1,0,100
default,profile/no_token: status is 401,1,0,100
default,profile/no_token: never a 5xx (server did not crash),1,0,100
default,profile/tampered_token: status is 401,1,0,100
default,profile/tampered_token: never a 5xx (server did not crash),1,0,100
default,logout/no_token: status is 401,1,0,100
default,logout/no_token: never a 5xx (server did not crash),1,0,100
default,refresh/garbage_token: status is 400/401,1,0,100
default,refresh/garbage_token: never a 5xx (server did not crash),1,0,100
default,refresh/missing_field: status is 400,1,0,100
default,refresh/missing_field: never a 5xx (server did not crash),1,0,100
default,login/valid: status is 200/201,3,0,100
default,login/valid: success=true,3,0,100
default,login/valid: has data.user.accessToken,3,0,100
default,login/valid: never a 5xx (server did not crash),3,0,100
default,refresh/valid: status is 200/201,1,0,100
default,refresh/valid: never a 5xx (server did not crash),1,0,100
default,logout/valid: status is 200/201,1,0,100
default,logout/valid: never a 5xx (server did not crash),1,0,100
default,dashboard/counts: status is 200,1,0,100
default,dashboard/counts: has data.dashboard.totalCustomers,1,0,100
default,upload/unauthenticated: status is 401,0,1,0
default,upload/unauthenticated: never a 5xx (server did not crash),1,0,100
default,upload/invalid_type: status is 400/415,0,1,0
default,upload/invalid_type: never a 5xx (server did not crash),1,0,100
default,upload/oversized: status is 400/413,0,1,0
default,upload/oversized: never a 5xx (server did not crash),1,0,100
default,upload/profile: status is 200/201,1,0,100
default,upload/profile: never a 5xx (server did not crash),1,0,100
default,upload/profile: success=true,1,0,100
default,upload/profile: file key returned,1,0,100
default,upload/bg: status is 200/201,1,0,100
default,upload/bg: never a 5xx (server did not crash),1,0,100
default,upload/bg: success=true,1,0,100
default,upload/bg: file key returned,1,0,100
default,upload/email_logo: status is 200/201,1,0,100
default,upload/email_logo: never a 5xx (server did not crash),1,0,100
default,upload/email_logo: success=true,1,0,100
default,upload/email_logo: file key returned,1,0,100
default,upload/favicon: status is 200/201,1,0,100
default,upload/favicon: never a 5xx (server did not crash),1,0,100
default,upload/favicon: success=true,1,0,100
default,upload/favicon: file key returned,1,0,100
default,upload/login_logo: status is 200/201,1,0,100
default,upload/login_logo: never a 5xx (server did not crash),1,0,100
default,upload/login_logo: success=true,1,0,100
default,upload/login_logo: file key returned,1,0,100
default,upload/sidebar_logo: status is 200/201,1,0,100
default,upload/sidebar_logo: never a 5xx (server did not crash),1,0,100
default,upload/sidebar_logo: success=true,1,0,100
default,upload/sidebar_logo: file key returned,1,0,100
default,upload/welcome: status is 200/201,1,0,100
default,upload/welcome: never a 5xx (server did not crash),1,0,100
default,upload/welcome: success=true,1,0,100
default,upload/welcome: file key returned,1,0,100
default,upload/theme_assets: all seven image fields returned keys,1,0,100
default,upload/theme_assets: each image field received a distinct storage key,1,0,100
default,create_customer/negative_empty_payload: status is 400,1,0,100
default,create_customer/negative_empty_payload: never a 5xx (server did not crash),1,0,100
